Titulo,Artista,Album,Ano,Letra
12+1,Charlie Brown Jr,Preço Curto... Prazo Longo,1999,"12 + +1 - Charlie Brown Jr e PMC Ela para e enquadra  é a viatura  Skate e hip-hop, rock  quem diria é a irmandade de rua  virando diretoria  No calibre de idéias, na voz adrenalina  PMC-Charlie Brown  Puxam o gatilho da rima  Pensando em melhores dias pra minha vida  eu me afastei de encrencas  Mas se liga maluco, aqui não tem comédia Se pagar pra ver o bicho pega na cara  e se ficar na reta... não cabe o nós     12 + 1,  trezentos e oitenta, estouro a sua cara  e se embaçar  Dou-lhe um, dou-lhe dois  Quantos for.     12 + 1,  trezentos e oitenta, estouro a sua cara  e se embaçar  Dou-lhe um, não cabe a nós     Ele sempre quis ser o cara bãozudo  Ter todas as mulheres, rodar pelo mundo  Ter sorte no jogo ser bem informado,  saúde, bom gosto, ter carro blindado  Dias e noites  pensando na vida  Então esqueçam dessa noite,  boa noite querida  Ainda olho no espelho não me vejo cansado  eu descanso dormindo eu só sonho acordado     Te dou idéia ,  não entende, finge não está vendo  Velho aloprando me alugando  que tá no veneno  Deixa o bicho pegar, deixa o coro comê  quando a casa cair, vai cair com você  O cenário é ideal prá quem tá na rotina  é foda se livra dessa sua sina  Mas não coloca ninguém na sua lista de culpa,  macaco veio e esperto não mete a mão na cumbuca  Aí mané, pois é, qual é que é?  Se agiliza cupade, então sai do meu pé  O seu diploma de traíra, já tá na mão  O seu diploma de defunto tá na boca do canhão!  Aí cupade chega de treta!  Muita treta!  Se vacilar vai arrumar pra sua cabeça  Tem uma rapa de nego que tá na sua cola  sai voado, vai não demora  Segue o rumo vai buscar a sua liberdade  é só lembrar daquele homem que falava a verdade  Mas te dominou... mas te dominou... mas te dominou..."
333,Charlie Brown Jr,Preço Curto... Prazo Longo,1999,"Eis que a tal da voz predominou, pois tinha algo a dizer Eis que um sonho novo se realizou, o que dá mais prazer Não vou mudar, as coisas é que vão mudar Não vou mudar, não as coisas é que vão só vão mudar As coisas é que vão mudar Não vou mudar, não as coisas é que vão só vão mudar... De todos os lados De todos os aspectos Eu digo 3 3 3, 3 vezes eu achei que iria aceitar Eu quase me matei Eu comigo pensei se ele não aceitar, o que posso fazer, então o que farei Antigamente todos me tratavam mal Não sou mais um marginal Mas se estar a margem for negar o que não me convém, então eu sou marginal Pois tinha algo a dizer!..."
333 (tablatura),Charlie Brown Jr,,,Introdução: -|----------------|------------------------------|- -|----------------|------------------------------|- -|----------------|------------------------------|- -|---------6-5----|---------(666-555)*-----------|- -|----6----------|----6------------------------|- -|--4----4--------|--4----4----------------------|- G1 3X *(ABAFADO) Refrão: -|--------------------------------------------|- -|--------------------------------------------|- -|--------------------------------------------|- -|--8-------4--6------------------------------|- -|--8-------4--6------------------------------|- -|--6-------2--4------------------------------|- G1
A Banca,Charlie Brown Jr,Acústico MTV - Charlie Brown Jr.,2003,"Quem for sangue bom demorou de desenvolver Saúde tem demais tem pra dar e vender O rap me diverte, faz eu viajar o mundo Deus vai me fazer aqui no Brocklin um escudo Com o tempo, eu fico onde estou, quem vacilou, o esqueleto arrastou Os homens de preto acionam o dedo (blinck bleu) Brooklin meu irmão onde eu nasci é cruel Pra frente aqui vou eu e quem não se envolveu O meu é partidário vacilou quem prometeu O ambiente na quebrada é quente meu Entardeceu vacilou na festa é problema seu O crime não é crime eu faço parte também É de lei se respeito é que eu também sei temos que nos preservar Manter a fé em Deus não pare. Pode crer Charlie Brown, RZO essa é a família Sabotage Broklin Sul faz a rima. Salve a favela tô aqui Sabotage, Desertos, lugar, ligeiro, Criminalidade. Refrão Ra-tá-tá é bicho solto Fica ligeiro já faz parte do jogo Todo cuidado é pouco Ra-tá-tá é bicho solto Sandrão aqui convoca os loucos Entende os outros conhece o jogo Confiscou aqui só ganha quem supera a morte no ""corre"" só se envolve é quem é forte atitude traz a sorte só dá mole aqui oslock Quem se envolve não corre das exigências que ocorrem na periferia os piores dias da América Latina Tem de conviver numa desbaratina rap protetores da periferia vida! Liga fica de esquina quem deus descrimina vida bandida quantos manos, quantas minas Tá naquele lá de cima aí ladrão essa é a única alternativa Só os que servem hip-hop apoiam a greve Boa peste da nossa inteligência não troca gato por lebre Microfone, cheque click,cleck,clack, cheque mate, cheque mate! Refrão RZO, os ""cara"" Rima rica, rima rara Os pobre fica de cara e a batida aqui não para. Toda família, mesma família Os mano aqui são tudo da minha láia, meu escritório é na praia (Você se lembra) Eles querem te levar Maloqueiro em carro rico, vão parar pra averiguar Chego, chego devagar Chego bem humilde, sei como chegar Tem, Tem ""pa"" mata você,Tem, Tem ""pa"" manda buscar Vai te pru sapão ve, Tem, tem pra te alucinar Eu não fico dividido, num sei porque tomo batido Sistema falido, já aconteceu comigo Zum, Zum, Zum Cocaína mata um, mata vários, escraviza o mais fraco. Eu já fui um otário sim, hoje estou bem, já larguei, me curei Foi bem melhor pra mim, mas conheci vários manos que foram até o fim Uma horientação a cada esquina, o consumo do alcool te deixa cada vez + louko sim... Ra-tá-tá é bicho solto, POW, Ra-tá-tá é bicho solto  Mas pode crer Chorão Pirituba é quase igual Punk, funk, pagodeiro, curte RZO e Charlie Brown Som bem legal Racionais melhor ainda se falar da paz Deus ilumine o graffit Favela da mandioca tem apetite vejo pico nosso menino só da humilde que que tem Pula estação vai de trem vem com nóis Firme como nossa voz Sandrão, canta Também cola na banca quem não é se espanta Descrimina a pampa santa ignorância Tem que ser igual HC e a banca não manca aumenta a confiança Esperança é o que não morre não desande faz e corre no skate Faz até enfeite o Alemão todo dia lá no parque maior viaje Eu dou valor a arte é ele o toda mão láno parque, no parque tem ganso em toda parte Mano Sabotagem falou que colar aqui mais tarde Pode crer você sabe é aquilo Nosso rap é compromisso e eu prefiro sem vacilo na responsa humilde eu me sinto pois assim ninguém me afronta Helião falou e é verdade É negru-util eu sei de tudo cu de burro pode tudo num segundo mas, eu juro vou rimar E vou mostrar que tá no ar música pra respeitar O Champignom tá envolvido e todo mundo da baixada Só a rapa fumaça então que faça Vamo liberar quem entende e compreeende tem moral sempre a frente, firmeza total, não se julga o melhor pois Deus é maioral Quem tá legal fuma o bamba curte RZO e Charlie Brown Refrão(2x) Coração de vagabundo bate na sola do pé skate na veia pau no cú dos mané."
A Banca (acústico MTV),Charlie Brown Jr,,,"Taê, agora é meu eu vou taca e roda, roda E com os mano apavora nós somos a minoria mas nós vamos adiante Porque a vida me ensinou e eu me tornei um gigante Memória de elefante Eu so assim eu so folgado eu do um olie, eu pulo hidrante E se tive que ser vai ser o que vier Carro, droga, treta, mulher Nós tamo aí nóis é ralé, mas nós não somo zé mane Nós tamo aí nóis é ralé, mas nós não somo zé mane Quem for sangue bom demorou de desenvolver Saúde tem demais tem pra dar e vender O rap me diverte, faz eu viajar o mundo Deus vai me fazer aqui no Brocklin um escudo Com o tempo, eu fico onde estou, quem vacilou, o esqueleto arrastou Os homens de preto acionam o dedo (blinck bleu) Brocklin meu irmão onde eu nasci é cruel Pra frente aqui vou eu e quem não se envolveu O meu é partidário vacilou quem prometeu O ambiente na quebrada é quente meu Entardeceu vacilou na festa é problema seu O crime não é o creme eu nao faço parte mas eu sei É de lei se respeito é que eu também sei temos que nos preservar Manter a fé em Deus não pare. Pode crer Charlie Brown, RZO essa é a família Sabotage Broklin Sul faz a rima. Pode acreditar Refrão Ra-tá-tá é bicho solto Fica ligeiro já faz parte do jogo Todo cuidado é pouco Ra-tá-tá é bicho solto pode acredi-acred-acredi-ta Sandrão aqui convoca os loucos Entende os outros conhece o jogo Confiscou aqui só ganha quem supera a morte No corre quem se envolve quem é forte atitude traz a sorte só dá mole aqui oslock Quem se envolve não corre das exigências que ocorrem na periferia os piores dias da América Latina Como que sirva numa desinbaratina rap protetores da periferia, ginga ginga de esquina quem vê os descrimina vida bandida quantos manos, quantas minas Vendo aquele lá de cima aí ladrão essa é a única alternativa Só os que servem hip-hop apoia a greve Boa peste da nossa inteligência não troca gato por lebre Microfone, cheque click,cleck,clack, cheque mate, cheque mate! Refrão Mas pode crer Chorão Pirituba é quase igual Punk, funk, pagodeiro, RZO e Charlie Brown Som bem legal Racionais melhor ainda se falar da paz Deus ilumine o grafite Favela da mandioca tem apetite Dedo pico nosso menino na humilde que que tem Pula estação vai de trem vem com nóis Firme como nossa voz Sandrão, canta Também cola na banca quem não é se espanta Descrimina a pampa santa ignorância Tem que ser igual HC e a banca não manca aumenta a confiança Esperança é o que não morre não desande faz e corre no skate Faz até enfeite o Alemão todo dia lá no parque maior viaje Eu dou valor a arte É ele o toda mão lá no parque, no parque tem ganso em toda parte Mano Sabotagem falou que colar aqui mais tarde Pode crer você sabe é aquilo Nosso rap é compromisso e eu prefiro sem vacilo na responsa responsa No limite eu me sinto pois assim ninguém me afronta responsa Ele me falou e é verdade É negrutil eu sei de tudo cu de burro fode tudo num segundo mas, eu juro vou rimar E vou mostrar que tá no ar música pra respeitar O Champignom tá envolvido e todo mundo da baixada Só a rapa fumaça então que faça Vamo liberar quem entende e compreende Moral sempre a frente, firmeza total, não é maioral, Deus é maioral Aí quem é humilde curte Charlie Brown e RZO. Refrão(2x) Coração de vagabundo bate na sola do pé skate na veia pau no cú dos mané."
A Grande Volta,Charlie Brown Jr,Preço Curto... Prazo Longo,1999,"Olha só quem voltou Movimento de valor Que mostrou o que sabia Se ligou que agora é dia Que é o sol, que ele brilha Vou juntar toda a família Junto os manos, a gataria Festa boa vai rolar A grande volta Que serviu pra dar um gás agora sim Skaton na veia e ibiraboys é coisa assim A grande volta que serviu pra dar um gás agora sim Skaton na veia e ibiraboys é coisa assim O mel no lábio que resseca a boca O mel na boca que te deixa louca O mel no lábio que resseca a boca O mel na boca que te deixa louca Olha só quem voltou Movimento de valor Que mostrou porque sabia Se ligou que agora é dia Que é o sol, que ele brilha Vou juntar toda a família Junto os manos, a gataria Festa boa vai rolar A grande volta Que serviu pra dar um gás agora sim Skaton na veia e ibiraboys é coisa assim A grande volta que serviu pra dar um gás agora sim Skaton na veia e ibiraboys é coisa assim O mel no lábio que resseca a boca O mel na boca que te deixa louca O mel no lábio que resseca a boca O mel na boca que te deixa louca Tcharroladron! Tcharroladron! O mel no lábio que resseca a boca O mel na boca que te deixa louca O mel no lábio que resseca a boca O mel na boca que te deixa louca Que te deixa louca Que te deixa louca Que te deixa louca Que te deixa louca Que te deixa louca!..."
A Mais Linda Do Bar,Charlie Brown Jr,La Familia 013,2013,"Sei que não posso reclamar muito das coisas Mas não entendo porquê sou tratado assim Sei que no mundo existe muita gente doida Mas cada um no seu caminho e não se deixem confundir Eu quero paz e liberdade Para viver do jeito que eu estou afim Do jeito que eu estou afim Eu vou rodar essa cidade Porque eu sei que em algum lugar a garota do meu sonho Está esperando por mim Eu quero a garota mais linda do bar Me da uma chance pra poder provar Que meu mundo pode ser seu Meu mundo pode ser seu Meu mundo pode ser Eu quero a garota mais linda do bar Me da uma chance pra poder provar Que meu mundo pode ser seu Meu mundo pode ser seu Meu mundo pode ser Resignação nunca foi conformismo Eu também to bolado buscando sentindo Porque tanta angústia? por que tanta dor? Sou o guerreiro que canta o amor Mas meu amor não tem pudor Eu quero ela em clima quente Nua, inigualável minha gata insaciável Eu quero a garota mais linda do bar Me da uma chance pra poder provar Que meu mundo pode ser seu Meu mundo pode ser seu Meu mundo pode ser Eu quero a garota mais linda do bar Me da uma chance pra poder provar Que meu mundo pode ser seu Meu mundo pode ser seu Meu mundo pode ser"
Abrir Seus Olhos,Charlie Brown Jr,Imunidade Musical,2005,"Não adianta esperar atitude de quem não tem Não é ele quem vai estar lá quando você precisar Não adianta esperar pelo trem que já passou Um dia eu páro você, vou te fazer enxergar Abrir seus olhos e fazer você enxergar quem eu sou Abrir seus olhos pra você gostar de mim como eu sou Acorda pra ver que eu só te quero bem Deixa a chuva te avisar que o sol vai brilhar pra você Eu pude contemplar sua beleza enquanto você sorria Abrir seus olhos e fazer você enxergar quem eu sou Abrir seus olhos pra você gostar de mim como eu sou Eu que não sabia que o amor era simples e pleno Fico feliz de estar vivendo e aprendendo Então deixa a chuva te avisar que o sol vai brilhar pra você Abrir seus olhos e fazer você enxergar quem eu sou Abrir seus olhos pra você gostar de mim como eu sou"
Amor Pelas Ruas,Charlie Brown Jr,Nadando com os Tubarões,2000,Instrumental
Aquela Paz,Charlie Brown Jr,Imunidade Musical,2005,"A vida é feita de atitudes nem sempre decentes Não lhe julgam pela razão, mas pelos seus antecedentes É quando eu volto a me lembrar do que eu pensava nem ter feito Vem, me traz aquela paz Você procura a perfeição, eu tenho andado sobre efeito Mas posso te dizer que já não aguento mais Desencana, não vou mudar por sua causa, não tem jeito Quem é que decide o que é melhor pra minha vida agora? Ouvi dizer que só era triste quem queria Ouvi dizer que só era triste quem queria Ouvi dizer que só era triste quem queria Ouvi dizer que só era triste quem queria Lidei com coisas que eu jamais entenderei Ah! Se eu pudesse estar em paz Me livrar do pesadelo de vê-lo nesse estado, e não poder ajudá-lo não Triste é não poder mudar, porque estais tão revoltado irmão? Ouvi dizer que só era triste quem queria Ouvi dizer que só era triste quem queria Ouvi dizer que só era triste quem queria Ouvi dizer que só era triste quem queria Ouvi dizer que só era triste quem queria Ouvi dizer que só era triste quem queria Ouvi dizer que só era triste quem queria Ouvi dizer que só era triste quem queria A vida é feita de atitudes nem sempre decentes Não lhe julgam pela razão, mas pelos seus antecedentes Cuidado com os seus passos!"
